key,en,sw
followers,"{count, plural, =0{Followers} =1{Follower} other{Followers}}","{count, plural, =0{Wafuasi} =1{Mfuasi} other{Wafuasi}}"
likes,"{count, plural, =0{Likes} =1{Like} other{Likes}}",Pendo
comments,"{count, plural, =0{Comments} =1{Comment} other{Comments}}",Maoni
reposts,"{count, plural, =0{Reposts} =1{Repost} other{Reposts}}","{count, plural, =0{Reposts} =1{Repost} other{Reposts}}"
follow,Follow,Fuata
following,Following,Kufuatia
followNotification,Followed you,Alikufuata
commentNotification,Commented on your post,Alitoa maoni juu ya chapisho lako
likeNotification,Liked your post,Alipenda chapisho lako
repostNotification,Reposted your post,Ilirudisha chapisho lako
editProfile,Edit Profile,Hariri wasifu
promote,Promote,Kuongeza
notImplemented,Not Implemented,Haijatekelezwa
notImplementedDescription,This page will be available in the next release,Ukurasa huu utapatikana katika toleo linalofuata
shareUser,Share user {username} with,Shiriki mtumiaji {username} na
sharePost,Share post with,Shiriki chapisho na
fullName,Full Name,Jina kamili
bio,Bio,Bio
website,Website,Tovuti
additionalInfo,Additional Information,Taarifa za ziada
category,Category,Kategoria
interests,Interests,Maslahi
birthday,Birthday,Siku ya kuzaliwa
interestsTitle,Select the fields you are interested in,Chagua mambo yanayokuvutia
categoryTitle,Who do you consider yourself to be?,Je! Unajiona kuwa nani?
birthdayTitle,For personalized content. This info will be kept private,Kwa yaliyomo kibinafsi. Maelezo haya yatahifadhiwa faragha
done,Done,Imekamilika
update,Update,Sasisha
usernameTitle,Enter the username\nyou'd like to use.,Ingiza jina la mtumiaji\nungependa kutumia.
changeUsername,Change username,Badilisha jina la mtumiaji
usernameDescription,"Only letters, numbers, underscores(_) and periods (.) are allowed","Barua tu, nambari, underscores (_) na vipindi (.) Vinaruhusiwa"
settings,Settings,Mipangilio
manageAccount,Manage Account,Dhibiti akaunti
billing,Billing,Bili
displayAndMedia,Display & Media,Onyesha & Media
dataSaver,Data Saver,Saver ya data
drafts,Drafts,Rasimu
support,Support,Msaada
privacy,Privacy,Faragha
policies,Policies,Sera
clearCache,Clear Cache,Kashe wazi
logOut,Log out,Ingia nje
changePassword,Change Password,Badilisha neno la siri
issue,Issue,Suala
inappropriate,Inappropriate,Haifai
issueTitle,"Report an error in the app, or a crash.","Ripoti kosa katika programu, au ajali."
inappropriateTitle,Report a user or post that violated the rules of the app.,Ripoti mtumiaji au chapisho ambalo lilikiuka sheria za programu.
attachment,Attachment,Kiambatisho
description,Description,Maelezo
users,"{count, plural, =0{Users} =1{User} other{Users}}","{count, plural, =0{Watumiaji} =1{Mtumiaji} other{Watumiaji}}"
issueDescription,"Briefly explain the situation you are facing. If any, suggest a way to fix it to meet your needs.","Fafanua kwa kifupi hali unayokabili. Ikiwa ipo, pendekeza njia ya kurekebisha ili kukidhi mahitaji yako."
inappropriateDescription,Briefly explain the situation you are facing. Expound on how it affects you and measures to be taken to resolve it.,Fafanua kwa kifupi hali unayokabili. Fafanua jinsi inavyoathiri wewe na hatua za kuchukuliwa ili kuisuluhisha.
cancel,Cancel,Ghairi
logoutDescription,Confirm that you want to log out,Thibitisha kuwa unataka kutoka
flash,Flash,Flash
on,on,on
off,off,off
timer,Timer,Kipima muda
filters,Filters,Chujio
sounds,Sounds,Sauti
upload,Upload,Pakia
trim,Trim,Punguza
rotate,Rotate,Zungusha
voiceover,Voiceover,Sauti
cover,Cover,Kijipicha
caption,Caption,Maelezo mafupi
hashtag,Hashtag,Alama ya reli
person,Person,Mtumiaji
tags,"{count, plural, =0{Tags} =1{Tag} other{Tags}}","{count, plural, =0{Vitambulisho} =1{Kitambulisho} other{Vitambulisho}}"
allowComments,Allow Comments,Ruhusu maoni
saveVideo,Save video on Device,Hifadhi video kwenye kifaa
selectTags,Select tags for your post,Chagua vitambulisho kwa chapisho lako
preview,Preview,Hakikisho
yesterday,Yesterday,Jana
now,now,Sasa
selectUsername,Select Username,Chagua jina la mtumiaji
submitting,Submitting,Kuwasilisha
processing,Processing,Usindikaji
introTitle,Introduce\nYourself,Jitambulishe
solo,Solo,Solo
group,Group,Kikundi
selectFromGallery,Select from gallery,Chagua kutoka kwa Matunzio
takeOnCamera,Take on camera,Chukua kamera
removePhoto,Remove photo,Ondoa picha
passwordMatchError,The passwords do not match!,Nenosiri hazilingani!
warning,Warning!,Onyo!
passwordMatchDescription,The two passwords you've entered do not match.,Nenosiri mbili ambazo umeingiza hazilingani.
ok,Ok,Sawa
invalid,Invalid,Batili
codeMatchError,The code entered does not match the one sent. Please try again.,Nambari iliyoingizwa hailingani na ile iliyotumwa. Tafadhali jaribu tena.
date,Date,Tarehe
age,Age,Umri
profilePhoto,Profile Photo,Picha ya wasifu
noComment,"No comments, be the first to comment below.","Hakuna maoni, kuwa wa kwanza kutoa maoni hapa chini."
bioHint,Add a bio for your profile,Ongeza bio kwa wasifu wako
noFollowers,@{user} has no followers.,@{user} hana wafuasi.
noPins,{challenge} has no pins.,{challenge} haina pini.
edit,Edit,Hariri
delete,Delete,Futa
noComments,No Comments,Hakuna maoni
commentFirst,Be the first to comment,Kuwa wa kwanza kutoa maoni
noContentAvailable,No Content\nAvailable,Hakuna\nyaliyomo
caution,Caution!,Tahadhari!
loseChangesWarning,The changes you've made would be lost if you quit.,Mabadiliko ambayo umefanya yangepotea ikiwa utaacha.
none,None,Hakuna
newPassword,New Password,Nenosiri mpya
submit,Submit,Wasilisha
